id,post_id,user_id,rating_percent,rated_at
1,516,1,64,2024-01-11 12:45:41
2,160,1,62,2024-01-11 12:47:15
3,19,1,20,2024-01-11 12:47:28
4,148,1,100,2024-01-11 12:49:35
5,513,1,63,2024-01-11 12:50:58
6,583,1,77,2024-01-11 12:51:32
7,546,1,57,2024-01-15 19:46:18
8,142,5,100,2024-01-16 02:30:59
9,153,1,64,2024-01-16 10:27:42
10,152,1,43,2024-01-16 11:59:56
11,629,1,19,2024-01-16 12:11:14
12,14,1,54,2024-01-16 12:14:50
13,164,1,100,2024-01-16 12:47:44
14,549,1,79,2024-01-16 12:48:05
15,633,1,60,2024-01-16 13:02:49
16,16,1,28,2024-01-16 15:33:08
17,558,1,54,2024-01-16 17:40:14
18,517,1,82,2024-01-16 17:42:51
19,161,1,59,2024-01-16 17:46:17
20,633,18,21,2024-01-16 22:46:54
21,590,18,39,2024-01-16 22:50:18
22,35,18,22,2024-01-26 18:10:01
23,36,18,12,2024-01-26 18:10:08
24,56,18,92,2024-01-29 17:44:10
25,142,1,96,2024-01-30 16:37:05
26,461,1,56,2024-01-31 22:37:18
27,551,1,26,2024-01-31 22:37:27
28,33,1,50,2024-01-31 22:37:42
29,132,18,82,2024-02-10 03:33:17
30,148,152,66,2024-03-10 13:09:10
31,82,18,21,2024-03-12 08:08:37
32,82,5,86,2024-03-18 05:00:16
33,151,1,23,2024-03-22 12:36:50
34,58,18,90,2024-03-26 02:27:17
35,415,167,68,2024-03-26 02:41:17
36,512,167,46,2024-03-26 02:53:58
37,629,9,24,2024-03-29 12:53:09
38,560,5,60,2024-04-02 11:15:51
39,31,5,65,2024-04-02 11:17:12
40,551,9,36,2024-04-02 17:41:02
41,159,9,60,2024-04-02 18:23:12
42,143,9,74,2024-04-02 18:31:53
43,154,9,47,2024-04-02 18:45:08
44,560,9,79,2024-04-03 11:09:52
46,86,9,63,2024-04-03 13:10:14
47,727,9,42,2024-04-03 13:10:55
48,724,9,48,2024-04-03 13:11:50
49,722,9,48,2024-04-03 13:25:32
50,633,9,61,2024-04-03 13:32:03
51,60,1,62,2024-04-03 14:11:23
53,560,1,81,2024-04-03 14:12:01
54,159,1,68,2024-04-03 14:12:23
55,726,19,79,2024-04-03 14:12:46
56,723,19,79,2024-04-03 14:14:50
57,154,5,5,2024-04-03 14:25:36
58,40,5,32,2024-04-03 14:26:09
59,143,5,32,2024-04-03 14:33:32
60,40,1,68,2024-04-03 15:23:03
61,14,5,60,2024-04-03 15:23:19
62,516,5,85,2024-04-03 15:23:19
63,629,5,100,2024-04-03 15:23:19
64,36,5,94,2024-04-03 15:23:24
65,143,1,22,2024-04-03 15:23:25
66,558,5,29,2024-04-03 15:23:28
67,60,5,16,2024-04-03 15:23:28
68,56,5,49,2024-04-03 15:23:28
69,56,1,26,2024-04-03 15:23:38
70,14,9,22,2024-04-03 15:37:55
71,558,9,58,2024-04-03 15:37:58
72,161,9,45,2024-04-03 15:38:47
73,56,9,16,2024-04-03 15:40:08
74,152,9,73,2024-04-03 15:43:41
75,31,9,16,2024-04-03 15:44:35
76,35,9,63,2024-04-03 15:50:55
77,142,9,74,2024-04-03 15:56:26
78,546,9,70,2024-04-03 15:59:08
79,558,18,30,2024-04-03 19:40:12
80,629,18,8,2024-04-03 19:40:13
81,560,18,63,2024-04-03 19:40:18
82,14,18,29,2024-04-03 19:40:20
83,517,18,25,2024-04-03 19:40:38
84,60,18,10,2024-04-03 19:40:57
85,19,18,1,2024-04-03 19:40:58
87,31,18,38,2024-04-03 19:41:01
88,143,170,73,2024-04-03 20:44:35
89,583,9,15,2024-04-04 09:32:44
90,19,9,73,2024-04-04 12:57:24
91,36,9,22,2024-04-04 12:59:46
92,60,9,56,2024-04-04 12:59:51
93,512,9,63,2024-04-04 13:00:05
94,590,9,67,2024-04-04 13:32:29
95,160,9,45,2024-04-04 13:32:31
96,461,9,62,2024-04-04 13:32:33
97,58,9,43,2024-04-04 13:32:35
98,549,9,24,2024-04-04 13:38:29
99,723,9,32,2024-04-04 13:38:31
100,726,9,63,2024-04-04 13:38:36
101,16,9,12,2024-04-04 13:38:40
102,132,9,62,2024-04-04 13:38:41
103,82,9,28,2024-04-04 16:26:48
104,164,9,47,2024-04-04 16:28:07
105,40,9,64,2024-04-04 16:28:16
106,516,9,22,2024-04-04 16:34:23
107,151,9,65,2024-04-04 16:34:26
108,153,9,46,2024-04-04 16:34:30
109,513,9,43,2024-04-04 16:34:33
110,415,9,66,2024-04-04 16:35:23
111,23,9,41,2024-04-04 16:50:37
112,34,9,65,2024-04-04 16:50:39
113,32,9,67,2024-04-04 16:54:24
115,43,9,61,2024-04-04 16:55:06
116,38,9,43,2024-04-04 16:55:10
117,437,1,74,2024-04-04 17:52:00
118,436,1,31,2024-04-04 17:52:02
119,434,1,43,2024-04-04 17:52:04
120,23,1,51,2024-04-04 17:52:38
121,38,1,16,2024-04-04 17:52:43
122,35,1,54,2024-04-04 17:52:57
123,32,1,100,2024-04-04 17:57:16
124,132,1,67,2024-04-04 17:57:31
125,723,1,50,2024-04-04 17:57:34
126,512,1,53,2024-04-04 17:57:42
127,154,1,23,2024-04-04 22:40:32
128,86,1,46,2024-04-04 22:42:43
